Data stats. Training 0.7 , Validation 0.15 , Testing 0.15000000000000002 

Random SEED:  50129
D:\PKLot/PKLot/PKLotSegmented/PUCPR/*/*/Empty/*.jpg. #files: 229994
D:\PKLot/PKLot/PKLotSegmented/PUCPR/*/*/Occupied/*.jpg. #files: 194229
D:\PKLot/PKLot/PKLotSegmented/UFPR04/*/*/Empty/*.jpg. #files: 59718
D:\PKLot/PKLot/PKLotSegmented/UFPR04/*/*/Occupied/*.jpg. #files: 46125
D:\PKLot/PKLot/PKLotSegmented/UFPR05/*/*/Empty/*.jpg. #files: 68359
D:\PKLot/PKLot/PKLotSegmented/UFPR05/*/*/Occupied/*.jpg. #files: 97426
Total Images 695851
---------------------------------------------------
DataSet -> Training
Number of images-> 487093
Batch size-> 256
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 250648
	Batch size-> 128
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 236445
	Batch size-> 128
	Image size-> 64

---------------------------------------------------
---------------------------------------------------
DataSet -> Validation
Number of images-> 104378
Batch size-> 3000
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 53711
	Batch size-> 1500
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 50667
	Batch size-> 1500
	Image size-> 64

---------------------------------------------------
---------------------------------------------------
DataSet -> Testing
Number of images-> 104380
Batch size-> 4000
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 53712
	Batch size-> 2000
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 50668
	Batch size-> 2000
	Image size-> 64

---------------------------------------------------
EPOCHS:  20
TRAIN_BATCHES_PER_EPOCH:  1902 

Epoch 0
	Batch 0, Validation accuracy 0.475667
	Batch 1100, Validation accuracy 0.987
	Batch 1150, Validation accuracy 0.965667
	Batch 1200, Validation accuracy 0.982
	Batch 1250, Validation accuracy 0.973667
	Batch 1300, Validation accuracy 0.969302
	Batch 1350, Validation accuracy 0.997333
	Batch 1400, Validation accuracy 0.999
	Batch 1450, Validation accuracy 1
	Batch 1500, Validation accuracy 0.999333
	Batch 1550, Validation accuracy 0.998667
	Batch 1600, Validation accuracy 0.998667
	Batch 1650, Validation accuracy 0.998333
	Batch 1700, Validation accuracy 0.998667
	Batch 1750, Validation accuracy 0.999
	Batch 1800, Validation accuracy 0.999
	Batch 1850, Validation accuracy 0.998667
	Batch 1900, Validation accuracy 0.998333
Epoch 16
	Batch 0, Validation accuracy 0.999333
	Batch 50, Validation accuracy 0.999667
	Batch 100, Validation accuracy 0.998333
	Batch 150, Validation accuracy 0.999
	Batch 200, Validation accuracy 0.998333
	Batch 250, Validation accuracy 1
	Batch 300, Validation accuracy 1
	Batch 350, Validation accuracy 0.998667
	Batch 400, Validation accuracy 0.997333
	Batch 450, Validation accuracy 0.998333
	Batch 500, Validation accuracy 0.978667
	Batch 550, Validation accuracy 0.993
	Batch 600, Validation accuracy 0.999333
	Batch 650, Validation accuracy 0.999333
	Batch 700, Validation accuracy 0.999667
	Batch 750, Validation accuracy 0.999
	Batch 800, Validation accuracy 0.998667
	Batch 850, Validation accuracy 0.997333
	Batch 900, Validation accuracy 0.998333
	Batch 950, Validation accuracy 0.939
	Batch 1000, Validation accuracy 0.997333
	Batch 1050, Validation accuracy 0.99625
	Batch 1100, Validation accuracy 0.978333
	Batch 1150, Validation accuracy 0.992254
	Batch 1200, Validation accuracy 0.998667
	Batch 1250, Validation accuracy 0.999667
	Batch 1300, Validation accuracy 0.999667
	Batch 1350, Validation accuracy 0.998
	Batch 1400, Validation accuracy 0.999333
	Batch 1450, Validation accuracy 0.998
	Batch 1500, Validation accuracy 0.999333
	Batch 1550, Validation accuracy 0.999667
	Batch 1600, Validation accuracy 0.998667
	Batch 1650, Validation accuracy 0.999
	Batch 1700, Validation accuracy 0.999
	Batch 1750, Validation accuracy 0.999
	Batch 1800, Validation accuracy 0.998667
	Batch 1850, Validation accuracy 0.999333
	Batch 1900, Validation accuracy 0.998333
Epoch 17
	Batch 0, Validation accuracy 0.999
	Batch 50, Validation accuracy 0.999
	Batch 100, Validation accuracy 0.999333
	Batch 150, Validation accuracy 0.999
	Batch 200, Validation accuracy 0.999
	Batch 250, Validation accuracy 1
	Batch 300, Validation accuracy 0.999333
	Batch 350, Validation accuracy 0.996667
	Batch 400, Validation accuracy 0.999667
	Batch 450, Validation accuracy 0.999667
	Batch 500, Validation accuracy 1
	Batch 550, Validation accuracy 0.999333
	Batch 600, Validation accuracy 0.999333
	Batch 650, Validation accuracy 0.999333
	Batch 700, Validation accuracy 0.998
	Batch 750, Validation accuracy 0.999667
	Batch 800, Validation accuracy 0.99925
	Batch 850, Validation accuracy 0.986667
	Batch 900, Validation accuracy 0.980667
	Batch 950, Validation accuracy 0.995
	Batch 1000, Validation accuracy 0.994836
	Batch 1050, Validation accuracy 0.998667
	Batch 1100, Validation accuracy 0.998667
	Batch 1150, Validation accuracy 0.999667
	Batch 1200, Validation accuracy 0.998667
	Batch 1250, Validation accuracy 0.999333
	Batch 1300, Validation accuracy 0.999333
	Batch 1350, Validation accuracy 0.998333
	Batch 1400, Validation accuracy 0.999
	Batch 1450, Validation accuracy 0.999333
	Batch 1500, Validation accuracy 0.999333
	Batch 1550, Validation accuracy 0.998333
	Batch 1600, Validation accuracy 0.998667
	Batch 1650, Validation accuracy 0.998333
	Batch 1700, Validation accuracy 0.999667
	Batch 1750, Validation accuracy 0.999333
	Batch 1800, Validation accuracy 0.998667
	Batch 1850, Validation accuracy 0.997333
	Batch 1900, Validation accuracy 0.998667
Epoch 18
	Batch 0, Validation accuracy 0.998
	Batch 50, Validation accuracy 0.997
	Batch 100, Validation accuracy 0.998
	Batch 150, Validation accuracy 0.999
	Batch 200, Validation accuracy 0.999333
	Batch 250, Validation accuracy 0.952667
	Batch 300, Validation accuracy 0.981667
	Batch 350, Validation accuracy 0.999333
	Batch 400, Validation accuracy 0.999667
	Batch 450, Validation accuracy 0.999333
	Batch 500, Validation accuracy 0.999667
	Batch 550, Validation accuracy 0.91826
	Batch 600, Validation accuracy 0.938667
	Batch 650, Validation accuracy 0.942
	Batch 700, Validation accuracy 0.983
	Batch 750, Validation accuracy 0.984667
	Batch 800, Validation accuracy 0.977333
	Batch 850, Validation accuracy 0.950572
	Batch 900, Validation accuracy 0.730667
	Batch 950, Validation accuracy 0.938
	Batch 1000, Validation accuracy 0.957333
	Batch 1050, Validation accuracy 0.999
	Batch 1100, Validation accuracy 0.998333
	Batch 1150, Validation accuracy 0.999333
	Batch 1200, Validation accuracy 0.998333
	Batch 1250, Validation accuracy 0.999
	Batch 1300, Validation accuracy 0.999
	Batch 1350, Validation accuracy 0.999333
	Batch 1400, Validation accuracy 0.998667
	Batch 1450, Validation accuracy 0.999
	Batch 1500, Validation accuracy 0.999667
	Batch 1550, Validation accuracy 0.999
	Batch 1600, Validation accuracy 0.998333
	Batch 1650, Validation accuracy 0.999667
	Batch 1700, Validation accuracy 0.997667
	Batch 1750, Validation accuracy 0.998667
	Batch 1800, Validation accuracy 0.999
	Batch 1850, Validation accuracy 0.999
	Batch 1900, Validation accuracy 0.996667
Epoch 19
	Batch 0, Validation accuracy 0.999
	Batch 50, Validation accuracy 0.998333
	Batch 100, Validation accuracy 0.849667
	Batch 150, Validation accuracy 0.937667
	Batch 200, Validation accuracy 0.935
	Batch 250, Validation accuracy 0.925
	Batch 300, Validation accuracy 0.965879
	Batch 350, Validation accuracy 0.958333
	Batch 400, Validation accuracy 0.939667
	Batch 450, Validation accuracy 0.941
	Batch 500, Validation accuracy 0.940333
	Batch 550, Validation accuracy 0.947333
	Batch 600, Validation accuracy 0.946333
	Batch 650, Validation accuracy 0.948
	Batch 700, Validation accuracy 0.943563
	Batch 750, Validation accuracy 0.966
	Batch 800, Validation accuracy 0.971667
	Batch 850, Validation accuracy 0.995333
	Batch 900, Validation accuracy 0.962
	Batch 950, Validation accuracy 0.979
	Batch 1000, Validation accuracy 0.952667
	Batch 1050, Validation accuracy 0.958667
	Batch 1100, Validation accuracy 0.999
	Batch 1150, Validation accuracy 0.997333
	Batch 1200, Validation accuracy 0.999333
	Batch 1250, Validation accuracy 0.999333
	Batch 1300, Validation accuracy 0.999
	Batch 1350, Validation accuracy 0.998
	Batch 1400, Validation accuracy 0.999333
	Batch 1450, Validation accuracy 0.998667
	Batch 1500, Validation accuracy 0.997333
	Batch 1550, Validation accuracy 0.998667
	Batch 1600, Validation accuracy 0.999333
	Batch 1650, Validation accuracy 0.998667
	Batch 1700, Validation accuracy 0.998333
	Batch 1750, Validation accuracy 0.999333
	Batch 1800, Validation accuracy 0.997667
	Batch 1850, Validation accuracy 0.990333
	Batch 1900, Validation accuracy 0.994667
Batch size 4000, Test accuracy 0.9985
Batch size 4000, Test accuracy 0.99975
Batch size 4000, Test accuracy 0.99975
Batch size 4000, Test accuracy 0.9995
Batch size 4000, Test accuracy 0.99925
Batch size 4000, Test accuracy 0.99925
Batch size 4000, Test accuracy 0.99925
Batch size 4000, Test accuracy 0.999
Batch size 4000, Test accuracy 0.999
Batch size 4000, Test accuracy 0.9985
Batch size 4000, Test accuracy 0.9985
Batch size 4000, Test accuracy 0.99875
Batch size 4000, Test accuracy 0.99925
Batch size 4000, Test accuracy 0.99875
Batch size 4000, Test accuracy 0.99925
Batch size 4000, Test accuracy 1
Batch size 4000, Test accuracy 0.9995
Batch size 4000, Test accuracy 0.99025
Batch size 4000, Test accuracy 0.98625
Batch size 4000, Test accuracy 0.98875
Batch size 4000, Test accuracy 0.983
Batch size 4000, Test accuracy 0.984
Batch size 4000, Test accuracy 0.9895
Batch size 4000, Test accuracy 0.985
Batch size 4000, Test accuracy 0.98775
Batch size 2668, Test accuracy 0.983133
Batch size 3712, Test accuracy 0.987877

Metrics:
Load Time: 2.755395s
Train Time: 5690.703823s
Test Time: 34.959863s
Total Time taken: 5728.419081s

Average Test accuracy 0.994491
